Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m13_1_131_12ug_MudPIT_QE3_04	PEFi_14spcs_m13_1_131	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13772	34080	0	45649	22511	0	23138	13990	12264	0	1726	30.65	54.48	NaN	7.46	7978	641833	27416	4.27	3924	14.31	60148	16467	16030	27.38	29.15	4680	28.42	+	1.2077	1.5915	0.79408	1.0869	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m13_1_131_12ug_MudPIT_QE3_05	PEFi_14spcs_m13_1_131	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14065	36348	0	48906	23790	0	25116	14311	12633	0	1678	29.26	53.1	NaN	6.68	7789	769579	29560	3.84	3915	13.24	69760	17286	16881	24.78	26.26	4845	28.03	+	1.2147	1.6005	0.79107	1.0827	
20180821_Patnode_INSeq2_Day19_PEF_m09_2_144_12ug_MudPIT_QE3_01	PEFi_15spcs_m09_2_144	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7521	10475	0	13430	7520	0	5910	3329	3088	0	241	24.79	41.06	NaN	4.08	2250	281732	9342	3.32	613	6.56	24647	6520	6286	26.45	30.64	864	13.25	+	1.3484	1.7245	0.87601	1.1639	
20180821_Patnode_INSeq2_Day19_PEF_m09_2_144_12ug_MudPIT_QE3_02	PEFi_15spcs_m09_2_144	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12743	40020	0	53264	26776	0	26488	14209	12277	0	1932	26.68	45.85	NaN	7.29	8813	684333	31969	4.67	5061	15.83	66130	19351	18461	29.26	32.08	5698	29.45	+	1.435	1.8354	1.003	1.33	
20180821_Patnode_INSeq2_Day19_PEF_m09_2_144_12ug_MudPIT_QE3_03	PEFi_15spcs_m09_2_144	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13535	35391	0	46649	24133	0	22516	15171	13040	0	2131	32.52	54.03	NaN	9.46	9088	650599	28154	4.33	4550	16.16	61966	17380	16899	28.05	30.07	5163	29.71	+	1.3073	1.6894	0.88836	1.192	
20180821_Patnode_INSeq2_Day19_PEF_m09_2_144_12ug_MudPIT_QE3_04	PEFi_15spcs_m09_2_144	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13846	33450	0	44312	22588	0	21724	14160	12341	0	1819	31.96	54.64	NaN	8.37	8285	661957	26769	4.04	4088	15.27	59836	16218	15825	27.1	28.96	4836	29.82	+	1.2384	1.6191	0.82244	1.1201	
20180821_Patnode_INSeq2_Day19_PEF_m09_2_144_12ug_MudPIT_QE3_05	PEFi_15spcs_m09_2_144	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13972	36890	0	49583	24197	0	25386	14648	12986	0	1662	29.54	53.67	NaN	6.55	8232	761131	29901	3.93	4161	13.92	68440	17403	16990	25.43	26.9	5007	28.77	+	1.2237	1.6072	0.80177	1.0907	
20180821_Patnode_INSeq2_Day19_PEF_m12_2_145_12ug_MudPIT_QE3_01	PEFi_15spcs_m12_2_145	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7456	10795	0	14112	7478	0	6634	3331	3106	0	225	23.6	41.54	NaN	3.39	2230	266862	9530	3.57	656	6.88	23828	6495	6243	27.26	31.47	830	12.78	+	1.246	1.6188	0.8017	1.0766	
20180821_Patnode_INSeq2_Day19_PEF_m12_2_145_12ug_MudPIT_QE3_02	PEFi_15spcs_m12_2_145	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12723	40294	0	53871	26717	0	27154	13196	11291	0	1905	24.5	42.26	NaN	7.02	7499	656981	31790	4.84	5096	16.03	62524	19076	18189	30.51	33.54	5643	29.58	+	1.3359	1.7262	0.95079	1.2709	
20180821_Patnode_INSeq2_Day19_PEF_m12_2_145_12ug_MudPIT_QE3_03	PEFi_15spcs_m12_2_145	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13359	36623	0	49365	23881	0	25484	14646	12410	0	2236	29.67	51.97	NaN	8.77	7944	605752	28724	4.74	4421	15.39	60101	17206	16737	28.63	30.73	4925	28.62	+	1.258	1.6463	0.86826	1.1861	
20180821_Patnode_INSeq2_Day19_PEF_m12_2_145_12ug_MudPIT_QE3_04	PEFi_15spcs_m12_2_145	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14131	31856	0	42691	21021	0	21670	12709	10979	0	1730	29.77	52.23	NaN	7.98	6882	614500	25422	4.14	3776	14.85	54498	14944	14583	27.42	29.24	4387	29.36	+	1.1722	1.5578	0.77757	1.0723	
20180821_Patnode_INSeq2_Day19_PEF_m12_2_145_12ug_MudPIT_QE3_05	PEFi_15spcs_m12_2_145	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14026	36557	0	49686	23428	0	26258	13658	12020	0	1638	27.49	51.31	NaN	6.24	7144	737513	29336	3.98	4092	13.95	65518	16666	16281	25.44	26.91	4902	29.41	+	1.1995	1.58	0.77306	1.0543	
20180821_Patnode_INSeq2_Day19_PEF_m14_2_146_12ug_MudPIT_QE3_01	PEFi_15spcs_m14_2_146	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7454	10806	0	13855	7757	0	6098	3377	3153	0	224	24.37	40.65	NaN	3.67	2247	271430	9552	3.52	699	7.32	24230	6677	6469	27.56	31.09	899	13.46	+	1.2632	1.6277	0.81867	1.0976	
20180821_Patnode_INSeq2_Day19_PEF_m14_2_146_12ug_MudPIT_QE3_02	PEFi_15spcs_m14_2_146	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12527	41345	0	55041	27649	0	27392	14612	12601	0	2011	26.55	45.57	NaN	7.34	8799	702367	33093	4.71	5221	15.78	68755	19967	19022	29.04	31.76	5915	29.62	+	1.4205	1.8128	1.0116	1.335	
20180821_Patnode_INSeq2_Day19_PEF_m14_2_146_12ug_MudPIT_QE3_03	PEFi_15spcs_m14_2_146	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13134	37813	0	50841	24785	0	26056	15815	13392	0	2423	31.11	54.03	NaN	9.3	9291	632346	30165	4.77	4461	14.79	64147	18267	17781	28.48	30.59	5093	27.88	+	1.3032	1.698	0.901	1.2211	
20180821_Patnode_INSeq2_Day19_PEF_m14_2_146_12ug_MudPIT_QE3_04	PEFi_15spcs_m14_2_146	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13592	35067	0	47218	22916	0	24302	14055	12394	0	1661	29.77	54.08	NaN	6.83	7835	680572	27917	4.1	4077	14.6	64063	16540	16148	25.82	27.64	4853	29.34	+	1.2336	1.6215	0.82618	1.1321	
20180821_Patnode_INSeq2_Day19_PEF_m14_2_146_12ug_MudPIT_QE3_05	PEFi_15spcs_m14_2_146	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13937	37205	0	50057	24353	0	25704	14542	12884	0	1658	29.05	52.91	NaN	6.45	8022	774170	30461	3.93	4056	13.32	70857	17677	17274	24.95	26.43	4982	28.18	+	1.2051	1.5821	0.78905	1.0758	
20180911_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_01_180911085022	PEFi_14spcs_m00_0_127	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7819	8793	0	12180	5406	0	6774	1310	1236	0	74	10.76	22.86	NaN	1.09	809	292506	7291	2.49	733	10.05	22105	4311	4023	19.5	24.83	775	17.98	+	1.2183	1.5566	0.78695	1.0679	
20180911_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_02	PEFi_14spcs_m00_0_127	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12849	39374	0	51661	27087	0	24574	15498	13406	0	2092	30	49.49	NaN	8.51	9804	660331	31644	4.79	5053	15.97	64285	19650	18774	30.57	33.97	5730	29.16	+	1.4268	1.8232	1.0014	1.3205	
20180911_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_03	PEFi_14spcs_m00_0_127	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13589	35033	0	45526	24540	0	20986	15451	13424	0	2027	33.94	54.7	NaN	9.66	9398	625157	28192	4.51	4354	15.44	60367	17792	17402	29.47	31.78	5163	29.02	+	1.2872	1.6851	0.8739	1.1856	
20180911_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_04	PEFi_14spcs_m00_0_127	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13782	33915	0	44215	23615	0	20600	14704	13030	0	1674	33.26	55.18	NaN	8.13	8364	659101	27755	4.21	3941	14.2	61480	17246	16887	28.05	29.83	4884	28.32	+	1.2268	1.6135	0.79849	1.0854	
20180911_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_05	PEFi_14spcs_m00_0_127	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14019	36318	0	48241	24395	0	23846	14682	13205	0	1477	30.43	54.13	NaN	6.19	7770	763692	29767	3.9	3940	13.24	69759	17822	17450	25.55	27.22	4924	27.63	+	1.189	1.5708	0.77078	1.0531	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m04_2_147_12ug_MudPIT_QE3_01	HiSF_14spcs_m04_2_147	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		8049	7614	0	10261	4967	0	5294	1546	1439	0	107	15.07	28.97	NaN	2.02	1042	242185	6533	2.7	506	7.75	18188	4139	3964	22.76	27.8	610	14.74	+	1.2479	1.5993	0.782	1.0454	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m04_2_147_12ug_MudPIT_QE3_02	HiSF_14spcs_m04_2_147	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14145	31712	0	41739	21685	0	20054	9020	7949	0	1071	21.61	36.66	NaN	5.34	6106	610663	25628	4.2	3966	15.48	52174	16025	15236	30.71	34.08	4464	27.86	+	1.2675	1.6426	0.846	1.1304	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m04_2_147_12ug_MudPIT_QE3_03	HiSF_14spcs_m04_2_147	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14123	31705	0	41474	21936	0	19538	11141	9807	0	1334	26.86	44.71	NaN	6.83	7201	576606	25255	4.38	3946	15.62	52362	15723	15355	30.03	32.37	4538	28.86	+	1.2184	1.6014	0.80669	1.0975	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m04_2_147_12ug_MudPIT_QE3_04	HiSF_14spcs_m04_2_147	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14448	29730	0	39869	19591	0	20278	9097	8132	0	965	22.82	41.51	NaN	4.76	5461	629847	23503	3.73	3721	15.83	53958	13659	13324	25.31	26.84	4281	31.34	+	1.1765	1.5502	0.75015	1.0206	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m04_2_147_12ug_MudPIT_QE3_05	HiSF_14spcs_m04_2_147	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14880	31285	0	42530	20040	0	22490	8526	7783	0	743	20.05	38.84	NaN	3.3	4927	780978	25038	3.21	3710	14.82	67619	13964	13636	20.65	21.99	4310	30.87	+	1.18	1.5525	0.73869	1.0064	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m06_2_148_12ug_MudPIT_QE3_01	HiSF_14spcs_m06_2_148	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7889	8343	0	11046	5640	0	5406	1873	1730	0	143	16.96	30.67	NaN	2.65	1276	272566	7226	2.65	546	7.56	22846	4714	4457	20.63	25.47	724	15.36	+	1.2235	1.5799	0.78312	1.0536	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m06_2_148_12ug_MudPIT_QE3_02	HiSF_14spcs_m06_2_148	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13437	36045	0	47792	24298	0	23494	10937	9561	0	1376	22.88	39.35	NaN	5.86	6846	620536	28884	4.65	4457	15.43	57483	17556	16836	30.54	33.14	5169	29.44	+	1.3428	1.7408	0.94286	1.2591	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m06_2_148_12ug_MudPIT_QE3_03	HiSF_14spcs_m06_2_148	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14303	30715	0	40646	20784	0	19862	10894	9530	0	1364	26.8	45.85	NaN	6.87	6702	565945	24502	4.33	3635	14.84	52035	15050	14711	28.92	30.74	4257	28.29	+	1.1703	1.5437	0.78848	1.0755	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m06_2_148_12ug_MudPIT_QE3_04	HiSF_14spcs_m06_2_148	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14387	30276	0	40546	20006	0	20540	9424	8393	0	1031	23.24	41.95	NaN	5.02	5623	580645	24585	4.23	3378	13.74	52701	14546	14236	27.6	29.02	4165	28.63	+	1.0958	1.4697	0.69906	0.96784	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m06_2_148_12ug_MudPIT_QE3_05	HiSF_14spcs_m06_2_148	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14741	31935	0	43172	20698	0	22474	9001	8187	0	814	20.85	39.55	NaN	3.62	5119	756386	26135	3.46	3364	12.87	69360	15204	14856	21.92	23.25	4151	27.3	+	1.1572	1.5226	0.72807	0.99592	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m07_2_149_12ug_MudPIT_QE3_01	HiSF_14spcs_m07_2_149	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7647	9686	0	12997	6375	0	6622	1650	1544	0	106	12.7	24.22	NaN	1.6	1135	269502	8352	3.1	699	8.37	22559	5304	4959	23.51	27.71	829	15.63	+	1.1483	1.4959	0.73769	1.007	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m07_2_149_12ug_MudPIT_QE3_02	HiSF_14spcs_m07_2_149	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13309	36778	0	48988	24568	0	24420	9253	8024	0	1229	18.89	32.66	NaN	5.03	5984	671434	29664	4.42	4400	14.83	61888	18113	17152	29.27	31.67	5045	27.85	+	1.334	1.7203	0.94439	1.2518	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m07_2_149_12ug_MudPIT_QE3_03	HiSF_14spcs_m07_2_149	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14537	29163	0	38521	19805	0	18716	9287	8100	0	1187	24.11	40.9	NaN	6.34	5623	588781	23088	3.92	3594	15.57	51384	14091	13773	27.42	29.41	4104	29.12	+	1.1708	1.5552	0.77949	1.0753	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m07_2_149_12ug_MudPIT_QE3_04	HiSF_14spcs_m07_2_149	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14641	28788	0	38734	18842	0	19892	7905	7048	0	857	20.41	37.41	NaN	4.31	4395	615045	22478	3.65	3722	16.56	50806	12765	12437	25.12	26.66	4251	33.3	+	1.1574	1.5358	0.73927	1.0127	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m07_2_149_12ug_MudPIT_QE3_05	HiSF_14spcs_m07_2_149	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15076	30185	0	41285	19085	0	22200	7604	6862	0	742	18.42	35.95	NaN	3.34	4062	769414	23770	3.09	3629	15.27	64586	13053	12742	20.21	21.48	4223	32.35	+	1.1805	1.5463	0.73458	0.99726	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m10_2_150_12ug_MudPIT_QE3_01	HiSF_14spcs_m10_2_150	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7865	8502	0	11388	5616	0	5772	1618	1476	0	142	14.21	26.28	NaN	2.46	1067	277644	7280	2.62	631	8.67	22863	4640	4344	20.29	25.18	779	16.79	+	1.2397	1.6012	0.79598	1.0699	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m10_2_150_12ug_MudPIT_QE3_02	HiSF_14spcs_m10_2_150	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13405	36330	0	48083	24577	0	23506	10907	9385	0	1522	22.68	38.19	NaN	6.47	6911	653213	28981	4.44	4531	15.63	59672	17723	16970	29.7	32.38	5189	29.28	+	1.3277	1.7166	0.9344	1.2447	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m10_2_150_12ug_MudPIT_QE3_03	HiSF_14spcs_m10_2_150	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14349	30297	0	40116	20478	0	19638	10807	9434	0	1373	26.94	46.07	NaN	6.99	6594	593678	24163	4.07	3526	14.59	53620	14911	14593	27.81	29.59	4078	27.35	+	1.1677	1.547	0.77898	1.0663	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m10_2_150_12ug_MudPIT_QE3_04	HiSF_14spcs_m10_2_150	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14424	29993	0	40048	19938	0	20110	9137	8164	0	973	22.82	40.95	NaN	4.84	5432	638048	24081	3.77	3494	14.51	56035	14276	13955	25.48	26.78	4256	29.81	+	1.1006	1.4745	0.69846	0.96748	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m10_2_150_12ug_MudPIT_QE3_05	HiSF_14spcs_m10_2_150	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14975	30784	0	41969	19599	0	22370	8786	7899	0	887	20.93	40.3	NaN	3.97	4821	775726	24822	3.2	3469	13.98	68086	13968	13677	20.52	21.82	4128	29.55	+	1.1391	1.5069	0.69978	0.95562	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m13_2_151_12ug_MudPIT_QE3_01	HiSF_14spcs_m13_2_151	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7858	8469	0	11229	5709	0	5520	1842	1703	0	139	16.4	29.83	NaN	2.52	1221	277661	7236	2.61	680	9.4	22944	4643	4390	20.24	24.79	844	18.18	+	1.2357	1.5944	0.78553	1.043	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m13_2_151_12ug_MudPIT_QE3_02	HiSF_14spcs_m13_2_151	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13520	35519	0	47120	23918	0	23202	10623	9190	0	1433	22.54	38.42	NaN	6.18	6635	640117	28321	4.42	4495	15.87	58513	17306	16524	29.58	32.14	5063	29.26	+	1.3207	1.7094	0.92904	1.2423	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m13_2_151_12ug_MudPIT_QE3_03	HiSF_14spcs_m13_2_151	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14420	29883	0	39393	20373	0	19020	10656	9430	0	1226	27.05	46.29	NaN	6.45	6479	584621	23637	4.04	3634	15.37	51098	14434	14125	28.25	30.26	4255	29.48	+	1.183	1.5647	0.79007	1.0861	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m13_2_151_12ug_MudPIT_QE3_04	HiSF_14spcs_m13_2_151	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14474	29578	0	39633	19523	0	20110	8795	7819	0	976	22.19	40.05	NaN	4.85	5166	649350	23293	3.59	3691	15.85	54747	13377	13061	24.43	25.79	4316	32.26	+	1.1377	1.5173	0.72778	1.0062	
20181001_Patnode_INSeq2_Day19_HiSF_mWH2_m13_2_151_12ug_MudPIT_QE3_05	HiSF_14spcs_m13_2_151	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14925	30838	0	41893	19783	0	22110	8602	7743	0	859	20.53	39.14	NaN	3.89	4779	810416	24526	3.03	3633	14.81	67516	13701	13409	20.29	21.66	4309	31.45	+	1.1417	1.5098	0.71388	0.97877	
Total																			1250585	3025281	0	4066037	1984525	0	2081512	1041007	908815	0	132192	25.6	45.8	NaN	6.35	76189	59102401					5320093	1428475	1380103	26.85	29.05	409066	28.64		1.269	1.6563	0.85736	1.1634	
