COG_number,taxon,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
COG0031,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,645140,0,0,0,0,0,0,1637900,1249400,1407400
COG0031,Bacteroides cellulosilyticus,3658800,5915300,0,4659900,3927000,4311500,0,743100,0,8028500,7279800,9710900,7519100,6057200,6362200,23024000,13025000,3407600,21035000
COG0031,Bacteroides caccae TSDC17.2,2184800,3243100,0,3123100,1402900,932030,0,1061600,0,0,0,0,0,0,0,0,0,0,0
COG0031,Bacteroides finegoldii TSDC17.2,0,0,0,0,0,0,0,0,0,3563700,2743500,0,2958900,3734700,0,5338300,4819500,0,0
COG0031,Bacteroides massiliensis TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0031,Collinsella aerofaciens TSDC17.2,1765200,608630,382780,1396300,1481600,2090600,1538500,2212500,1273800,345600,1442100,0,878390,821850,1035300,372250,596060,538710,1885000
COG0031,Escherichia coli TSDC17.2,0,1178500,0,886420,811500,0,0,0,0,0,0,0,0,419490,0,0,0,0,0
COG0031,Escherichia coli TSDC17.2,0,1816100,1875900,2223000,4123000,1950600,3956100,5870900,2604000,1847900,3742500,1001900,2281200,2944600,3192300,2956300,5028800,3137600,5771800
COG0031,Parabacteroides distasonis TSDC17.2,0,0,0,0,134340,0,0,0,0,0,0,0,0,0,0,0,0,0,262690
COG0031,Ruminococcus albus TSDC17.2,0,0,0,0,0,0,0,3622200,0,0,0,0,0,0,0,0,0,0,1146000
COG0031,Subdoligranulum variabile TSDC17.2,0,0,0,0,0,0,0,0,0,427290,652630,318930,0,0,0,240510,645570,0,0
COG0033,Escherichia coli TSDC17.2,2671800,3354700,11445000,5552900,7436800,8030000,5447800,9259900,10311000,14166000,13725000,16994000,8921000,9087300,9383400,22149000,16229000,8264500,28055000
COG0034,Bacteroides thetaiotaomicron VPI-5482,1968900,146160,0,0,367640,0,1262200,0,0,14830000,10252000,10457000,18054000,10049000,5962000,21255000,9135700,5426800,7878300
COG0034,Bacteroides thetaiotaomicron VPI-5482,0,2640700,0,0,0,0,0,0,0,5515000,0,4296000,0,0,0,0,0,270450,0
COG0034,Bacteroides vulgatus ATCC 8482,2171100,2627000,0,0,0,0,0,0,0,3144800,761510,4117500,5318300,0,2046800,0,0,0,0
COG0034,Bacteroides ovatus,9389600,5926800,1644000,5817600,7921300,5131100,3914400,1786500,4878800,37543000,41226000,49895000,36902000,33556000,30128000,42983000,39841000,26123000,26813000
COG0034,Bacteroides ovatus,12553000,7068600,11197000,11310000,13364000,10509000,8404300,9344600,11849000,11754000,9454400,10920000,7922700,9300000,11587000,15296000,11731000,13795000,14550000
COG0034,Bacteroides cellulosilyticus,0,0,0,0,0,1698800,0,4118700,2089500,796250,0,0,0,0,1621100,3701600,1289600,3580900,3727100
COG0034,Bacteroides cellulosilyticus,0,0,2394700,0,1316900,2400100,3909300,3326000,3256600,0,0,0,2351200,0,5459100,6424900,2544700,6257600,2600600
COG0034,Collinsella aerofaciens TSDC17.2,392130,0,2512600,0,2122300,0,0,0,0,2864200,3025200,1101700,1446000,315340,0,2776100,3469600,0,1820600
COG0034,Escherichia coli TSDC17.2,3310100,6130700,6593100,5155000,16036000,1544800,1104900,2830400,2316300,3037000,2275300,0,3219500,1679700,1063500,0,4263500,1084100,4655200
COG0034,Parabacteroides distasonis TSDC17.2,0,0,0,0,0,1242200,0,0,0,467750,0,0,346220,412370,0,533840,0,649990,947660
COG0035,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,542590,0,0,0,0,0,0,0,307020,0,0
COG0035,Escherichia coli TSDC17.2,13870000,25237000,8790400,13451000,16528000,27880000,37182000,19698000,40809000,15801000,21888000,32856000,26341000,25272000,20610000,27709000,26323000,40177000,41342000
COG0035,Parabacteroides distasonis TSDC17.2,0,0,0,0,0,0,586010,0,0,0,0,0,0,0,0,0,0,0,0
COG0035,Subdoligranulum variabile TSDC17.2,913400,758490,863430,944530,644400,1364900,1158500,0,0,1035800,1411600,637170,0,1116000,486050,725050,976680,0,1364300
COG0036,Bacteroides ovatus,0,0,0,454200,1818300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0036,Collinsella aerofaciens TSDC17.2,0,0,895010,1660200,0,839260,977200,0,0,0,0,0,0,0,716250,770940,2311000,667490,818930
COG0036,Escherichia coli TSDC17.2,3620700,8140200,1736600,16878000,25959000,684030,790580,0,982500,987520,1181200,523090,667970,34231,55144,411470,1952200,3456200,3056900
COG0037,Subdoligranulum variabile TSDC17.2,2011600,284520,1463200,0,3441100,2465000,2350000,0,2895200,1143500,1499500,0,1468400,0,2511600,1355100,0,3693800,1118300
COG0038,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232910,0,0,0
COG0038,Odoribacter splanchnicus TSDC17.2,0,0,1311100,0,915690,816490,0,0,0,0,0,0,0,0,0,0,0,0,206890
COG0039,Bacteroides thetaiotaomicron VPI-5482,14441000,19078000,15092000,26764000,21733000,24972000,3194800,14292000,12049000,62374000,77623000,62845000,58766000,42109000,50654000,94416000,77047000,36998000,36887000
COG0039,Bacteroides ovatus,34147000,38717000,27973000,56171000,47184000,23302000,12104000,17578000,18066000,73323000,52746000,43092000,44987000,44043000,33991000,29347000,31779000,18319000,31354000
COG0039,Bacteroides cellulosilyticus,186670000,7641200,3854000,22863000,16753000,118110000,152880000,142780000,107930000,28439000,2727300,17237000,22307000,19723000,80408000,72545000,80882000,120610000,87063000
COG0039,Bacteroides cellulosilyticus,0,0,0,0,0,4916400,4914100,6345400,3348000,4072800,0,0,0,0,5440900,7233500,9674800,10613000,14763000
COG0039,Bacteroides caccae TSDC17.2,159360000,156490000,93915000,143610000,189150000,207360000,189780000,178100000,176500000,138900000,99261000,133530000,106750000,146810000,234510000,205410000,133100000,116890000,124910000
COG0039,Bacteroides finegoldii TSDC17.2,11277000,10579000,10216000,5672400,7135500,11924000,21908000,24203000,13211000,21258000,37675000,29617000,27357000,22622000,42918000,24940000,21355000,33301000,25521000
COG0039,Collinsella aerofaciens TSDC17.2,9227400,13426000,22490000,39957000,21018000,19915000,17085000,10287000,12346000,3207600,7316900,4225800,0,6460900,17971000,17568000,4958900,6168800,11747000
COG0039,Collinsella aerofaciens TSDC17.2,889060,0,0,3066200,876730,2057200,0,313820,341360,3208900,5067000,2001700,4233500,0,2535500,0,0,0,0
COG0039,Escherichia coli TSDC17.2,36963000,45015000,15467000,33573000,44654000,54397000,37512000,30908000,47273000,35539000,26215000,36861000,42607000,36797000,36722000,47352000,39579000,56042000,58907000
COG0039,Odoribacter splanchnicus TSDC17.2,16542000,42696000,48426000,32699000,23654000,5108100,13195000,3929700,17396000,6710000,2978700,9340200,8178200,6396200,0,5031700,1739400,8254100,2615800
COG0039,Parabacteroides distasonis TSDC17.2,25358000,20560000,20968000,42121000,25438000,5653400,9817200,6095100,14716000,51917000,44179000,47070000,37065000,53124000,22869000,41033000,39625000,28704000,27812000
COG0039,Parabacteroides distasonis TSDC17.2,1484700,2075400,1141000,2245800,2547400,830270,14234000,8862900,12868000,1868800,1786300,1558900,1414300,1919400,2114400,2497700,2178300,390710,4611100
COG0040,Bacteroides thetaiotaomicron VPI-5482,0,1968200,0,0,0,0,0,0,0,406510,1888500,2399300,831870,1640500,1057900,1049100,1139400,0,0
COG0040,Bacteroides vulgatus ATCC 8482,2048200,1691900,3177800,1219500,1748300,3962400,2765700,3287600,3660200,3307800,1775400,2091500,2997000,1972900,5394600,1628400,1184700,2293200,0
COG0040,Bacteroides cellulosilyticus,0,0,0,0,0,867240,0,686680,0,0,0,0,0,0,0,0,0,0,0
COG0040,Bacteroides caccae TSDC17.2,18838000,4678600,3876200,5195300,5980100,6860500,4330000,3388900,4441900,15358000,11089000,16461000,11171000,10855000,7594200,9322300,9889200,1400500,7018300
COG0040,Escherichia coli TSDC17.2,1545900,1426200,0,0,1339000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0041,Bacteroides cellulosilyticus,0,0,0,0,0,1997700,0,539390,0,3523100,2706000,0,0,0,0,0,0,3775900,4732800
COG0041,Collinsella aerofaciens TSDC17.2,4416600,2365500,771870,2589300,14123000,1716100,830070,0,900960,594810,1237600,442950,653280,802350,1677500,1299700,1366500,407640,730330
COG0041,Escherichia coli TSDC17.2,2357000,3610800,11150000,3011700,6740000,1384800,1955900,1548700,2816300,1349500,0,1251300,1879400,1614400,1648000,1563500,1380000,3882200,2905300
COG0041,Odoribacter splanchnicus TSDC17.2,0,2059700,0,1791300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0041,Subdoligranulum variabile TSDC17.2,0,0,0,1903700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502860
COG0042,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0042,Bacteroides ovatus,0,0,0,0,0,0,0,0,0,1155000,1370200,0,0,0,0,0,0,0,0
COG0042,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879640
COG0042,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,0,0,421840,0,0,0,0,0,374790,0,487460
COG0043,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,967960,151410,0,0,0,0,0,0,0,0,0
COG0044,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,5376600,841820,0,496750,0,0,0,950740,0,0
COG0044,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,0,0,0,609860,498040,1536900,0,0,0,0
COG0044,Bacteroides ovatus,1478700,0,1708600,2993700,2043600,3120100,0,0,716780,6002600,1980800,4810800,3581300,2182800,2674200,2294200,2078000,2507900,2120600
COG0044,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110800,0,1357200,2144400,1839200
COG0044,Bacteroides caccae TSDC17.2,0,1723300,1317700,2200800,1775300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0044,Collinsella aerofaciens TSDC17.2,13527000,31418000,17490000,33104000,24133000,4667000,10454000,3291800,9995900,8797000,8885700,7037900,4296300,7891000,10246000,22125000,16693000,2123700,17072000
COG0044,Collinsella aerofaciens TSDC17.2,0,1287000,0,1705500,937240,0,0,0,452980,209380,0,0,0,0,681750,0,0,0,553850
COG0044,Escherichia coli TSDC17.2,14950000,13338000,19115000,19439000,16808000,7883200,3767300,10698000,2290600,14416000,8239500,9085500,6444200,12516000,10937000,10744000,6756900,15419000,16061000
COG0044,Escherichia coli TSDC17.2,12967000,9717400,4242500,12462000,8579000,12375000,8962300,6236200,10238000,5392800,6270400,4626500,2524600,2091100,10575000,5240200,5096000,8933900,7696700
COG0044,Parabacteroides distasonis TSDC17.2,0,0,501100,450830,1420400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0045,Bacteroides thetaiotaomicron VPI-5482,2488400,860690,1688900,0,1232000,0,0,0,0,2794000,1648900,3027200,1673400,1923800,252060,1256900,1285000,0,891540
COG0045,Bacteroides thetaiotaomicron VPI-5482,499260,0,0,511700,624050,1972800,1336800,0,1513100,1425100,1408600,1411600,1231100,994090,1861100,1077100,1958400,1617600,1187600
COG0045,Bacteroides ovatus,0,800570,0,403860,795220,0,0,0,0,6339900,3086500,4780200,5182700,3714500,1542600,3770300,3611300,0,3232100
COG0045,Bacteroides cellulosilyticus,1363900,2952400,1999400,1191600,245920,2811500,3465800,3749600,3292500,2742200,1835600,1607900,111650,0,2390900,10372000,4564200,8299300,9648900
COG0045,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271790,0,0,0,0
COG0045,Bacteroides caccae TSDC17.2,0,3113700,0,1926000,0,2997900,958930,0,0,1610600,1463300,330570,1601000,0,0,1254600,1267400,4748700,699830
COG0045,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444000,0
COG0045,Escherichia coli TSDC17.2,29216000,26204000,18114000,12468000,26713000,25480000,16662000,18975000,17926000,9105400,9554000,8910800,12929000,7258800,3562500,6975100,9595800,13983000,13899000
COG0045,Parabacteroides distasonis TSDC17.2,2653000,3524200,4084600,2780000,1167700,3738900,2553200,0,0,1297600,1013300,738780,188470,1067600,1560100,1303200,1476000,1720800,1657200
COG0046,Bacteroides thetaiotaomicron VPI-5482,2944400,4680800,7061200,3463600,3903500,5581000,14718000,19029000,16911000,6395000,7099800,6862300,5064000,6039400,9723600,4585200,6541400,8866100,5279900
COG0046,Bacteroides vulgatus ATCC 8482,67119000,71619000,54599000,47281000,42277000,54745000,43088000,36249000,31270000,89563000,66169000,84029000,83943000,88811000,62922000,54401000,49088000,38948000,45518000
COG0046,Bacteroides ovatus,72561000,51529000,59539000,50002000,34204000,71704000,40143000,55276000,58621000,119920000,95439000,128210000,90922000,78325000,69269000,139180000,112440000,66419000,111540000
COG0046,Bacteroides cellulosilyticus,438420,0,517060,553780,263480,6551700,5421400,10413000,12613000,2585700,956020,0,199080,206740,10682000,41267000,25506000,12138000,34155000
COG0046,Bacteroides caccae TSDC17.2,3308400,4901800,0,3497100,2965500,949040,5960000,5089700,2476500,730850,2127700,1655100,1731500,1378700,1624000,915490,1304700,1607600,1199800
COG0046,Collinsella aerofaciens TSDC17.2,6508700,14835000,15550000,23125000,20702000,6152300,657440,0,5104900,8006000,10097000,7474400,2629400,7411000,9660200,13283000,7014800,1912900,9284600
COG0046,Escherichia coli TSDC17.2,13781000,36929000,41290000,37883000,60447000,20396000,51861000,32600000,63615000,41610000,41662000,48122000,39863000,37173000,38556000,46777000,53265000,55359000,70570000
COG0046,Odoribacter splanchnicus TSDC17.2,1167500,2003200,4897600,3043300,2826900,0,3724900,0,2074900,1775000,1288700,1162400,1022800,1021500,597260,1552400,1077300,725610,908480
COG0046,Ruminococcaceae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638700,380990,0,0
COG0046,Subdoligranulum variabile TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0047,Parabacteroides distasonis TSDC17.2,1056300,736700,1413500,1107500,0,1209400,2031600,2146500,2665400,643030,0,185030,0,0,577830,0,0,1117600,0
COG0049,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,1317300,1384000,1218300,306840,988760,0,0,0,0,0,0,0,0
COG0049,Bacteroides vulgatus ATCC 8482,13334000,668200,0,0,13578000,809800,1237900,0,530620,3828100,3879300,4377200,5146400,5126200,1256400,1022000,1910600,0,645440
COG0049,Bacteroides ovatus,619910,500700,0,4229600,0,473030,780060,0,0,10683000,10160000,11975000,7312000,8881800,588030,3448100,7379100,429480,4017500
COG0049,Bacteroides cellulosilyticus,108780000,69217000,92055000,77040000,73851000,132350000,158290000,166600000,185530000,180300000,223690000,240530000,202290000,222170000,127300000,240050000,219450000,154960000,202860000
COG0049,Bacteroides massiliensis TSDC17.2,7558600,13496000,3445300,9273600,8244100,6848900,15400000,7619700,982890,10433000,7698100,11252000,0,15267000,9101200,4717900,4078000,3700300,4020900
COG0049,Collinsella aerofaciens TSDC17.2,19523000,38114000,31475000,82008000,44757000,25787000,5654900,5360000,3281600,16615000,12629000,17147000,9385300,14365000,12333000,23457000,14272000,6611900,10738000
COG0049,Escherichia coli TSDC17.2,20416000,16159000,29544000,12272000,23422000,15899000,39374000,13933000,47835000,14751000,20564000,16366000,18226000,18758000,7062600,17409000,35617000,30925000,51444000
COG0049,Parabacteroides distasonis TSDC17.2,1523200,1106400,4391600,654430,2811800,1505800,5154300,8480100,6694100,2781900,2118600,4674000,2804500,1682500,351740,1355100,1944700,3821600,2631300
COG0049,Ruminococcaceae sp.,0,0,0,0,0,0,0,0,0,477380,0,0,0,0,886010,0,0,642530,773760
COG0049,Subdoligranulum variabile TSDC17.2,1766300,2400000,1290200,1427500,1836700,1310800,3118000,1933600,2450900,2467200,2166600,1721600,1656100,3364300,1426000,1789100,2474000,1884600,2057400
COG0050,Bacteroides vulgatus ATCC 8482,2850600000,2109400000,1804600000,1736500000,1823100000,1144100000,1427000000,1078500000,1111600000,2547900000,2472100000,2555800000,2879100000,2787600000,2556600000,2591800000,2445600000,2622500000,2345600000
COG0050,Bacteroides ovatus,460930000,621080000,186100000,343930000,295200000,128270000,181000000,163070000,133230000,426030000,320270000,300310000,392190000,273410000,298290000,417520000,241350000,315390000,480060000
COG0050,Bacteroides cellulosilyticus,133910000,113400000,178270000,117550000,133850000,106620000,319060000,180490000,208610000,210700000,124380000,156580000,167320000,118050000,347400000,633170000,429520000,510260000,634450000
COG0050,Bacteroides massiliensis TSDC17.2,32712000,11060000,0,10962000,7639500,0,7145000,15575000,6101700,111300000,107490000,120580000,103560000,82093000,20229000,133330000,70196000,47743000,80172000
COG0050,Collinsella aerofaciens TSDC17.2,72301000,216020000,172000000,360550000,330530000,237190000,335710000,188230000,418880000,203510000,211160000,165830000,123080000,201690000,225870000,275090000,154200000,90841000,262150000
COG0050,Odoribacter splanchnicus TSDC17.2,66528000,81956000,86603000,75890000,44972000,18615000,6472600,5546500,33966000,42031000,42846000,36032000,32581000,30402000,20405000,26898000,25285000,19875000,17957000
COG0050,Parabacteroides distasonis TSDC17.2,12951000,44921000,15703000,37857000,14416000,14969000,35834000,23309000,20450000,39206000,51718000,55475000,38560000,50350000,24600000,38685000,53735000,14736000,56188000
COG0050,Ruminococcus albus TSDC17.2,13168000,12454000,8117400,37555000,15016000,0,0,0,0,143040000,21558000,12231000,24190000,11534000,7740300,45048000,7083700,0,10241000
COG0050,Subdoligranulum variabile TSDC17.2,34840000,49639000,27358000,50532000,42784000,56620000,141600000,90675000,146740000,37042000,46325000,34246000,29182000,54776000,48706000,44855000,55341000,40805000,57280000
COG0051,Collinsella aerofaciens TSDC17.2,0,1159800,0,5996100,1476000,0,0,0,0,19182000,15494000,16810000,9568200,23329000,2372300,25171000,9103500,0,20993000
COG0051,Escherichia coli TSDC17.2,3975800,4996600,2091200,8356400,8483200,0,328030,2009700,3063800,14841000,69526000,38703000,58718000,84021000,35003000,35501000,75504000,63540000,37279000
COG0051,Odoribacter splanchnicus TSDC17.2,0,1376800,1171000,3662700,955160,200060,947630,1009900,1610700,605880,799290,1214500,949450,829390,2116400,0,1311800,0,0
COG0051,Ruminococcaceae sp.,0,0,0,0,726180,0,0,0,0,3177500,9656800,3386400,3929900,0,0,1768300,7366700,4554300,0
COG0051,Subdoligranulum variabile TSDC17.2,12414000,0,7752200,7741100,8754900,0,0,1365800,0,0,7097900,7873500,0,6518100,2062000,3638600,7646400,6369500,6249700
COG0052,Bacteroides cellulosilyticus,40669000,45421000,31293000,30658000,37328000,4133100,15258000,7186200,16904000,88921000,105560000,89748000,103710000,116470000,117900000,104100000,119870000,88131000,139810000
COG0052,Collinsella aerofaciens TSDC17.2,2965100,2012800,5076600,6206100,5562800,4757300,7280400,5010600,8404100,10900000,8367200,4735500,4365600,10436000,8861100,12811000,4985500,14772000,7566200
COG0052,Escherichia coli TSDC17.2,58226000,82110000,65338000,87990000,108400000,51088000,76720000,52048000,80182000,70383000,79105000,61940000,76139000,63887000,53678000,76296000,85217000,77078000,108500000
COG0052,Odoribacter splanchnicus TSDC17.2,0,0,3268800,1653800,2253000,0,0,1028500,0,0,0,0,0,0,0,0,0,0,0
COG0052,Parabacteroides distasonis TSDC17.2,3011600,2585500,2195300,1482900,1628300,0,7521900,11862000,10298000,12559000,10648000,7691500,6768900,7940400,2670200,6962100,8641200,9052300,6684400
COG0052,Ruminococcaceae sp.,0,525880,0,0,0,0,0,0,0,101650,0,0,0,0,0,346040,0,0,0
COG0052,Subdoligranulum variabile TSDC17.2,832180,1589000,1389300,0,2401100,1030400,2772900,0,1509600,0,0,787370,0,0,2455100,0,0,1657700,0
COG0054,Bacteroides thetaiotaomicron VPI-5482,1190300,0,0,0,2665100,13569000,0,2950600,0,3866300,3410300,6294800,5837500,0,4791500,4373900,4166100,5715300,3206400
COG0054,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,1097500,0,820990,0,1184400,972640,0,0,0,0
COG0054,Bacteroides ovatus,3135700,2795000,0,1718500,2268500,0,0,0,0,0,1271000,431150,1120300,557590,0,0,1144900,0,0
COG0054,Bacteroides cellulosilyticus,0,0,0,0,0,0,1570700,0,1424200,0,0,0,0,0,0,2938000,1032200,1884400,2139900
COG0054,Bacteroides caccae TSDC17.2,35239000,35179000,9555500,20858000,21907000,31238000,11452000,0,8483200,4489200,2214000,2650900,0,5249800,7745300,1993400,0,11184000,6063100
COG0054,Bacteroides finegoldii TSDC17.2,1643100,1767300,0,0,1534300,1323300,1452300,2339200,1561200,2162700,1475300,1514900,618790,1615000,2916300,1239300,975560,4577300,1343100
COG0054,Escherichia coli TSDC17.2,1365100,1470700,1019100,1875200,3430000,2053200,8319300,3463000,7479000,3050200,3632100,5184500,3905200,3012600,2781500,3522800,5691700,4575200,7990600
COG0054,Odoribacter splanchnicus TSDC17.2,277820,4831400,0,2743100,4299400,0,0,0,569770,612760,0,0,0,0,0,0,0,0,0
COG0054,Parabacteroides distasonis TSDC17.2,1813500,10306000,3092000,6280600,6474900,0,0,83513,0,3340500,2472600,1287200,1518300,1932700,683930,0,0,4108800,1827000
COG0055,Bacteroides thetaiotaomicron VPI-5482,6746500,4896700,0,6404700,6954200,4297100,2294500,0,0,4460400,5455300,4393200,1565200,7029400,0,12440000,4110200,0,10430000
COG0055,Bacteroides vulgatus ATCC 8482,27869000,28240000,20137000,37140000,30710000,38918000,72093000,47600000,38548000,47297000,31945000,51188000,58215000,50605000,59656000,71717000,38119000,24559000,36269000
COG0055,Bacteroides ovatus,18993000,24709000,8904800,23700000,16259000,11325000,29881000,19760000,26076000,34776000,20024000,28150000,28226000,28060000,21187000,28623000,21467000,20736000,24411000
COG0055,Bacteroides cellulosilyticus,1180000,0,0,0,0,13984000,13790000,11010000,10807000,1287400,0,0,0,0,17540000,16866000,16729000,21764000,20096000
COG0055,Bacteroides caccae TSDC17.2,12812000,8381100,6219000,13695000,8951900,13245000,9025100,7750200,5753000,2399000,1429300,1001500,1187500,1159500,0,4234700,2069600,1387000,750700
COG0055,Bacteroides massiliensis TSDC17.2,0,0,830840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG0055,Collinsella aerofaciens TSDC17.2,2179000,4284200,4488000,16218000,12886000,10822000,24674000,4008200,14962000,5979200,9392100,5220900,4362600,7258600,11014000,10024000,5250200,3088200,8009300
COG0055,Escherichia coli TSDC17.2,86055000,107910000,76883000,129040000,186790000,78881000,128270000,84777000,140410000,98522000,99298000,118160000,113260000,105950000,83620000,143430000,138140000,137120000,225140000
COG0055,Parabacteroides distasonis TSDC17.2,298990,0,0,0,0,0,676870,0,271210,0,0,0,0,0,0,183130,154080,0,169880
COG0055,Ruminococcus albus TSDC17.2,0,0,0,0,0,0,0,0,2062700,0,531030,0,0,0,0,0,0,0,3731600
COG0055,Subdoligranulum variabile TSDC17.2,0,0,0,0,0,0,0,0,0,0,182850,0,0,0,0,0,279480,0,0
COG0056,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,3447200,1541400,0,0,0,4931700,1909000,1552500,2951700,0,4717400,0,1999300,0,1120700
COG0056,Bacteroides vulgatus ATCC 8482,4091200,3655900,0,2756900,2185700,3625500,8829400,2472900,7033000,9057900,3817700,8935600,12598000,9835200,8494000,3831700,2609900,0,475600
COG0056,Bacteroides ovatus,2870400,0,1624600,1162800,10161000,222190,0,770290,0,1713700,2334000,1648000,3124700,312610,773810,0,1868600,0,288040
COG0056,Bacteroides cellulosilyticus,5767500,9296100,2760200,10337000,9629900,8264500,20799000,5891700,13370000,23103000,18965000,32061000,25865000,17136000,11452000,43397000,34027000,10351000,30604000
COG0056,Bacteroides caccae TSDC17.2,0,0,0,0,0,0,0,0,0,0,918320,0,0,0,0,0,0,212310,0
COG0056,Collinsella aerofaciens TSDC17.2,1192100,1459700,2272400,2439400,0,0,0,0,0,2745800,1922000,0,1125600,0,1367400,4183000,0,0,3691000
COG0056,Escherichia coli TSDC17.2,85688000,134780000,135670000,99923000,142970000,90385000,182800000,189410000,242380000,55991000,65801000,55432000,61769000,50853000,61017000,70480000,85164000,111490000,109760000
COG0056,Odoribacter splanchnicus TSDC17.2,0,0,0,0,0,0,0,0,0,1145800,2108300,1615500,1374600,898650,0,1321600,1716600,0,1387600
COG0056,Parabacteroides distasonis TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138150,0,0
COG0056,Ruminococcus albus TSDC17.2,0,0,0,0,0,0,0,0,0,593180,0,539400,726710,723250,0,0,0,0,432110
COG0056,Subdoligranulum variabile TSDC17.2,0,0,0,0,0,0,0,0,0,3340900,713760,1078200,0,0,0,576660,962170,0,921460
COG0057,Bacteroides ovatus,23607000,19125000,16307000,9385900,28523000,7915800,13063000,16281000,5701300,11645000,26896000,20940000,12785000,9863900,13483000,7810300,7477900,12256000,7910000
COG0057,Bacteroides cellulosilyticus,25769000,15320000,103250000,29309000,80023000,420500000,458360000,427190000,470070000,103950000,49587000,11709000,58983000,49877000,245770000,202920000,219240000,476670000,312240000
COG0057,Bacteroides caccae TSDC17.2,2225600000,2406500000,2740900000,2480400000,2451700000,3437200000,2947700000,3439700000,2916000000,2291100000,2557900000,2243200000,2368400000,2140900000,3622700000,2779300000,2587800000,4434700000,3174800000
COG0057,Collinsella aerofaciens TSDC17.2,278770000,252210000,183640000,431160000,405340000,420290000,402120000,179310000,340690000,157990000,198520000,162890000,107330000,179440000,305590000,338520000,221280000,100930000,191440000
COG0057,Escherichia coli TSDC17.2,874380,1515200,0,1913100,2194800,0,0,0,0,0,0,0,0,0,0,0,0,789450,298340
COG0057,Escherichia coli TSDC17.2,244350000,341860000,234130000,337880000,512760000,479160000,847150000,738200000,1049400000,422620000,386140000,397250000,402200000,388350000,399120000,538540000,442310000,803360000,775260000
COG0057,Odoribacter splanchnicus TSDC17.2,49639000,78770000,45626000,66483000,50610000,62503000,22064000,49103000,39886000,22947000,26790000,27677000,18912000,22457000,28923000,21972000,20265000,32570000,10521000
COG0057,Parabacteroides distasonis TSDC17.2,446870000,333630000,158830000,309770000,288690000,251360000,330850000,546080000,454260000,254010000,238400000,184510000,222430000,177390000,89745000,187690000,201890000,130790000,202420000
COG0057,Ruminococcaceae sp.,6095100,11707000,3215700,4466600,10720000,9776400,1721100,3269600,4429300,26859000,20594000,28789000,12769000,23248000,49352000,57603000,22714000,39635000,43953000
COG0057,Subdoligranulum variabile TSDC17.2,23653000,32539000,57072000,52295000,44109000,55175000,78443000,59002000,89946000,38523000,44727000,34674000,30587000,43570000,44098000,35934000,44510000,22777000,41122000
